"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 07 20:01:08 CST 2022","Wed Sep 07 20:01:08 CST 2022","72","Testcase","Test_equipment","Test_ep_info","","","test_get_ep_list",""
"passed","Wed Sep 07 20:01:08 CST 2022","Wed Sep 07 20:01:08 CST 2022","84","Testcase","Test_equipment","Test_ep_info","","","test_login[http://192.168.3.233:9090/login-{""username"": ""admin"",""password"": ""123456""}-post-login-正常登陆-0.0-操作成功]",""
"passed","Wed Sep 07 20:01:08 CST 2022","Wed Sep 07 20:01:08 CST 2022","65","Testcase","Test_equipment","Test_ep_info","","","test_new_eq[eqinfo0]",""
"passed","Wed Sep 07 20:01:08 CST 2022","Wed Sep 07 20:01:10 CST 2022","1485","Testcase","Test_get_air","Test_get_tq","","","test_gdata",""
"passed","Wed Sep 07 20:01:08 CST 2022","Wed Sep 07 20:01:08 CST 2022","145","Testcase","Test_get_air","Test_get_tq","","","test_g",""
"passed","Wed Sep 07 20:01:08 CST 2022","Wed Sep 07 20:01:08 CST 2022","60","Testcase","Test_equipment","Test_ep_info","","","test_login[http://192.168.3.233:9090/login-{""username"": """",""password"": """"}-post-login-用户名和密码为空-500.0-用户或密码错误]",""
"passed","Wed Sep 07 20:01:08 CST 2022","Wed Sep 07 20:01:08 CST 2022","79","Testcase","Test_equipment","Test_ep_info","","","test_new_eq[eqinfo1]",""
"passed","Wed Sep 07 20:01:08 CST 2022","Wed Sep 07 20:01:08 CST 2022","63","Testcase","Test_equipment","Test_ep_info","","","test_login[http://192.168.3.233:9090/login-{""username"": ""admin"",""password"": ""123""}-post-login-密码错误-500.0-用户或密码错误]",""
